Date;30.10.2025
Time;17.12.48
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-0.14;-0.85;-0.10;-4;-25;-3;19.47;2
2;0.07;-0.85;-0.07;2;-25;-2;19.47;2
3;0.07;-0.78;-0.10;2;-23;-3;19.47;2
4;0.07;-0.75;-0.07;2;-22;-2;19.61;2
5;0.03;-0.92;-0.10;1;-27;-3;19.67;2
6;0.03;-0.78;-0.07;1;-23;-2;19.61;2
7;0.24;-0.88;-0.14;7;-26;-4;19.87;2
8;0.31;-0.78;-0.07;9;-23;-2;19.67;2
9;0.07;-0.75;-0.07;2;-22;-2;19.34;2
10;0.00;-0.75;0.00;0;-22;0;19.54;2
11;0.00;-0.85;-0.10;0;-25;-3;19.61;2
12;0.07;-0.85;-0.10;2;-25;-3;19.54;2
13;0.17;-0.81;-0.14;5;-24;-4;19.74;2
14;0.03;-0.92;-0.07;1;-27;-2;19.93;2
15;-0.07;-0.92;-0.14;-2;-27;-4;19.47;2
16;0.17;-0.95;-0.10;5;-28;-3;19.74;2
17;0.00;-0.64;-0.14;0;-19;-4;19.67;2
18;0.07;-0.85;-0.14;2;-25;-4;19.80;2
19;-0.03;-0.85;-0.14;-1;-25;-4;19.41;2
20;0.14;-0.85;-0.07;4;-25;-2;19.34;2
21;0.03;-0.78;-0.03;1;-23;-1;19.54;2
22;0.03;-0.78;-0.07;1;-23;-2;19.93;2
23;0.10;-0.78;-0.10;3;-23;-3;19.61;2
24;-0.03;-0.78;-0.07;-1;-23;-2;19.61;2
25;0.07;-0.81;-0.10;2;-24;-3;19.47;2
26;0.07;-0.88;-0.14;2;-26;-4;19.47;2
27;0.10;-0.78;-0.03;3;-23;-1;19.67;2
28;0.07;-0.71;-0.10;2;-21;-3;19.54;2
29;0.10;-0.81;-0.07;3;-24;-2;19.54;2
30;0.20;-0.78;-0.07;6;-23;-2;19.80;2
31;0.03;-0.85;-0.10;1;-25;-3;19.61;2
32;0.14;-0.71;-0.03;4;-21;-1;19.67;2
33;0.10;-0.78;-0.07;3;-23;-2;19.28;2
34;0.17;-0.92;-0.07;5;-27;-2;19.54;2
35;0.14;-0.81;-0.07;4;-24;-2;19.74;2
36;0.07;-0.81;-0.03;2;-24;-1;19.54;2
37;0.10;-0.85;-0.10;3;-25;-3;19.41;2
38;0.10;-0.68;-0.10;3;-20;-3;19.93;2
39;0.03;-0.85;-0.07;1;-25;-2;19.80;2
40;0.20;-0.81;-0.10;6;-24;-3;19.47;2
41;0.10;-0.78;-0.07;3;-23;-2;19.54;2
42;0.17;-0.75;0.00;5;-22;0;19.47;2
43;0.07;-0.81;-0.03;2;-24;-1;19.34;2
44;0.00;-0.85;-0.17;0;-25;-5;19.87;2
45;0.07;-0.64;-0.17;2;-19;-5;19.61;2
46;0.00;-0.88;-0.03;0;-26;-1;19.67;2
47;0.00;-0.68;-0.03;0;-20;-1;19.47;2
48;0.03;-0.88;-0.07;1;-26;-2;19.61;2
49;0.27;-0.98;-0.10;8;-29;-3;19.61;2
50;0.07;-0.88;-0.14;2;-26;-4;19.34;2
51;0.10;-0.75;-0.17;3;-22;-5;19.54;2
52;0.17;-0.75;-0.10;5;-22;-3;19.47;2
53;0.17;-0.85;-0.07;5;-25;-2;19.34;2
54;0.07;-0.88;-0.10;2;-26;-3;19.74;2
55;0.07;-0.68;-0.14;2;-20;-4;19.67;2
56;0.07;-0.68;-0.07;2;-20;-2;19.61;2
57;0.00;-0.98;-0.17;0;-29;-5;19.47;2
58;0.14;-0.88;-0.14;4;-26;-4;19.61;2
59;0.10;-0.81;-0.07;3;-24;-2;19.61;2
60;-0.03;-0.85;-0.10;-1;-25;-3;19.54;2
61;0.14;-0.75;-0.03;4;-22;-1;19.41;2
62;-0.07;-0.92;-0.10;-2;-27;-3;19.54;2
63;0.14;-0.85;0.00;4;-25;0;19.54;2
64;0.03;-0.92;-0.10;1;-27;-3;19.47;2
65;0.14;-0.75;-0.07;4;-22;-2;19.67;2
66;0.07;-0.78;-0.07;2;-23;-2;19.47;2
67;0.00;-0.78;-0.20;0;-23;-6;19.61;2
68;0.03;-0.78;-0.14;1;-23;-4;19.54;2
