Date;30.10.2025
Time;17.18.51
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.17;-0.20;-0.07;5;-6;-2;19.80;2
2;0.10;-0.20;-0.10;3;-6;-3;19.34;2
3;0.20;-0.14;-0.07;6;-4;-2;19.93;2
4;0.17;-0.20;-0.07;5;-6;-2;19.41;2
5;0.34;-0.20;-0.07;10;-6;-2;19.93;2
6;0.34;-0.20;-0.10;10;-6;-3;19.80;2
7;0.17;-0.17;-0.03;5;-5;-1;19.67;2
8;0.17;-0.14;-0.10;5;-4;-3;19.54;2
9;0.10;-0.24;0.00;3;-7;0;19.80;2
10;0.00;-0.27;-0.10;0;-8;-3;19.34;2
11;0.03;-0.17;0.00;1;-5;0;19.67;2
12;0.00;-0.27;-0.10;0;-8;-3;19.80;2
13;0.20;-0.24;-0.10;6;-7;-3;19.61;2
14;0.03;-0.10;-0.14;1;-3;-4;19.61;2
15;0.20;-0.10;-0.07;6;-3;-2;19.87;2
16;0.10;-0.27;0.03;3;-8;1;19.87;2
17;0.17;-0.14;0.00;5;-4;0;19.61;2
18;0.10;-0.17;0.00;3;-5;0;19.67;2
19;0.10;-0.31;-0.03;3;-9;-1;19.54;2
20;0.03;-0.17;-0.07;1;-5;-2;19.67;2
21;0.14;-0.14;-0.10;4;-4;-3;19.47;2
22;0.07;-0.14;0.00;2;-4;0;19.67;2
23;0.10;-0.17;0.00;3;-5;0;19.47;2
24;0.14;-0.24;0.00;4;-7;0;19.87;2
25;0.10;-0.20;-0.07;3;-6;-2;19.67;2
26;0.17;-0.20;0.00;5;-6;0;19.61;2
27;0.07;-0.31;-0.10;2;-9;-3;19.47;2
28;0.03;-0.17;-0.10;1;-5;-3;19.61;2
29;0.07;-0.20;0.03;2;-6;1;19.87;2
30;0.17;-0.17;-0.07;5;-5;-2;19.67;2
31;0.14;-0.10;-0.03;4;-3;-1;19.80;2
32;0.10;-0.20;0.00;3;-6;0;19.67;2
33;0.20;-0.14;-0.07;6;-4;-2;19.47;2
34;0.10;-0.20;-0.10;3;-6;-3;19.54;2
35;0.10;-0.34;-0.03;3;-10;-1;19.34;2
36;0.10;-0.10;-0.10;3;-3;-3;19.61;2
37;0.10;-0.24;-0.07;3;-7;-2;19.61;2
38;0.14;-0.31;0.03;4;-9;1;19.67;2
39;0.07;-0.14;-0.07;2;-4;-2;19.67;2
