Date;30.10.2025
Time;17.10.45
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.00;-2.71;-0.03;0;-80;-1;19.54;2
2;0.03;-2.68;-0.20;1;-79;-6;19.61;2
3;0.00;-2.44;-0.14;0;-72;-4;19.61;2
4;0.07;-2.64;-0.14;2;-78;-4;19.67;2
5;0.10;-2.64;-0.17;3;-78;-5;19.41;2
6;0.00;-2.68;-0.14;0;-79;-4;19.34;2
7;0.10;-2.64;-0.14;3;-78;-4;19.54;2
8;0.00;-2.75;-0.14;0;-81;-4;19.61;2
9;0.10;-2.61;-0.14;3;-77;-4;19.47;2
10;0.27;-2.54;-0.24;8;-75;-7;19.61;2
11;-0.10;-2.68;-0.14;-3;-79;-4;19.80;2
12;0.07;-2.54;-0.20;2;-75;-6;19.74;2
13;-0.10;-2.58;-0.10;-3;-76;-3;19.41;2
14;0.03;-2.75;-0.17;1;-81;-5;19.54;2
15;0.00;-2.71;-0.17;0;-80;-5;19.74;2
16;0.07;-2.71;-0.14;2;-80;-4;19.61;2
17;0.00;-2.61;-0.10;0;-77;-3;19.67;2
18;0.03;-2.68;-0.10;1;-79;-3;19.74;2
19;0.07;-2.68;-0.14;2;-79;-4;19.87;2
20;-0.10;-2.78;-0.17;-3;-82;-5;19.67;2
21;-0.10;-2.71;-0.10;-3;-80;-3;19.54;2
22;0.07;-2.54;-0.14;2;-75;-4;19.47;2
23;0.03;-2.71;-0.14;1;-80;-4;19.54;2
24;0.00;-2.71;-0.17;0;-80;-5;19.87;2
25;0.00;-2.54;-0.20;0;-75;-6;19.54;2
26;0.14;-2.68;-0.20;4;-79;-6;19.61;2
27;0.00;-2.71;-0.14;0;-80;-4;19.74;2
28;0.07;-2.47;-0.14;2;-73;-4;20.07;2
29;-0.17;-2.75;-0.10;-5;-81;-3;19.41;2
30;0.03;-2.61;-0.17;1;-77;-5;19.47;2
31;0.00;-2.44;-0.14;0;-72;-4;19.80;2
32;0.03;-2.58;-0.14;1;-76;-4;19.47;2
33;0.03;-2.68;-0.17;1;-79;-5;19.34;2
34;-0.10;-2.61;-0.10;-3;-77;-3;19.74;2
35;-0.10;-2.85;-0.17;-3;-84;-5;19.61;2
36;0.17;-2.71;-0.14;5;-80;-4;19.61;2
37;0.10;-2.54;-0.20;3;-75;-6;19.74;2
38;0.03;-2.78;-0.20;1;-82;-6;19.54;2
