Date;30.10.2025
Time;17.06.11
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-1.76;-16.37;-0.17;-52;-483;-5;19.67;2
2;-1.90;-16.44;-0.07;-56;-485;-2;19.67;2
3;-1.69;-16.37;-0.14;-50;-483;-4;19.61;2
4;-1.83;-16.31;-0.10;-54;-481;-3;19.80;2
5;-1.66;-16.37;-0.10;-49;-483;-3;19.80;2
6;-1.76;-16.51;-0.17;-52;-487;-5;19.80;2
7;-1.90;-16.47;-0.07;-56;-486;-2;19.80;2
8;-1.73;-16.41;-0.17;-51;-484;-5;19.61;2
9;-1.86;-16.41;-0.07;-55;-484;-2;19.74;2
10;-1.80;-16.41;-0.07;-53;-484;-2;19.61;2
11;-1.80;-16.44;-0.14;-53;-485;-4;19.74;2
12;-1.73;-16.34;0.00;-51;-482;0;19.74;2
13;-1.93;-16.41;-0.10;-57;-484;-3;19.54;2
14;-1.69;-16.47;-0.14;-50;-486;-4;19.54;2
15;-1.73;-16.47;-0.10;-51;-486;-3;19.74;2
16;-1.76;-16.41;-0.10;-52;-484;-3;19.87;2
17;-1.80;-16.44;-0.10;-53;-485;-3;19.93;2
18;-1.80;-16.51;-0.07;-53;-487;-2;19.87;2
19;-1.73;-16.41;-0.10;-51;-484;-3;19.54;2
20;-1.86;-16.51;-0.17;-55;-487;-5;19.93;2
21;-1.73;-16.58;-0.20;-51;-489;-6;19.74;2
22;-1.83;-16.44;-0.14;-54;-485;-4;19.93;2
23;-1.73;-16.44;-0.07;-51;-485;-2;19.41;2
24;-1.73;-16.34;-0.10;-51;-482;-3;19.54;2
25;-1.73;-16.41;-0.10;-51;-484;-3;19.80;2
26;-1.76;-16.44;-0.14;-52;-485;-4;20.00;2
27;-1.80;-16.37;-0.07;-53;-483;-2;19.61;2
28;-1.76;-16.44;-0.14;-52;-485;-4;19.74;2
29;-1.73;-16.54;-0.14;-51;-488;-4;19.67;2
30;-1.80;-16.27;-0.14;-53;-480;-4;19.67;2
31;-1.76;-16.44;-0.20;-52;-485;-6;20.07;2
32;-1.76;-16.37;-0.14;-52;-483;-4;19.74;2
33;-1.63;-16.44;-0.07;-48;-485;-2;19.87;2
34;-1.73;-16.41;-0.10;-51;-484;-3;19.61;2
35;-1.76;-16.34;-0.10;-52;-482;-3;19.87;2
36;-1.93;-16.44;-0.14;-57;-485;-4;19.67;2
37;-1.59;-16.31;-0.14;-47;-481;-4;19.61;2
38;-2.00;-16.44;-0.07;-59;-485;-2;19.80;2
39;-1.86;-16.37;-0.07;-55;-483;-2;19.93;2
40;-1.66;-16.47;-0.14;-49;-486;-4;19.54;2
41;-1.69;-16.44;-0.17;-50;-485;-5;19.74;2
42;-1.76;-16.47;-0.17;-52;-486;-5;19.67;2
43;-1.86;-16.58;-0.14;-55;-489;-4;19.41;2
44;-1.66;-16.41;-0.03;-49;-484;-1;19.74;2
45;-1.73;-16.44;-0.10;-51;-485;-3;19.54;2
46;-1.73;-16.41;-0.10;-51;-484;-3;19.67;2
47;-1.83;-16.44;-0.07;-54;-485;-2;19.47;2
48;-1.76;-16.44;-0.03;-52;-485;-1;19.74;2
49;-1.83;-16.20;-0.10;-54;-478;-3;19.54;2
50;-1.86;-16.37;-0.14;-55;-483;-4;19.54;2
51;-1.69;-16.34;-0.17;-50;-482;-5;19.74;2
52;-1.83;-16.41;-0.14;-54;-484;-4;19.41;2
53;-1.66;-16.47;-0.10;-49;-486;-3;19.67;2
54;-1.80;-16.37;-0.10;-53;-483;-3;19.80;2
55;-1.97;-16.37;-0.07;-58;-483;-2;19.87;2
56;-1.83;-16.41;-0.17;-54;-484;-5;19.87;2
57;-1.83;-16.41;-0.10;-54;-484;-3;19.61;2
58;-1.97;-16.51;0.00;-58;-487;0;19.74;2
59;-1.73;-16.51;-0.17;-51;-487;-5;19.80;2
60;-1.83;-16.41;-0.17;-54;-484;-5;19.74;2
61;-1.63;-16.41;-0.17;-48;-484;-5;19.61;2
62;-1.80;-16.31;-0.17;-53;-481;-5;19.54;2
63;-1.73;-16.51;-0.17;-51;-487;-5;19.54;2
64;-1.83;-16.34;-0.03;-54;-482;-1;19.87;2
65;-1.66;-16.41;-0.14;-49;-484;-4;19.74;2
66;-1.69;-16.54;-0.14;-50;-488;-4;19.61;2
67;-1.90;-16.54;-0.10;-56;-488;-3;19.80;2
68;-1.76;-16.47;-0.10;-52;-486;-3;19.61;2
69;-1.73;-16.37;-0.10;-51;-483;-3;19.80;2
70;-1.80;-16.41;-0.17;-53;-484;-5;19.54;2
71;-1.80;-16.37;-0.07;-53;-483;-2;19.80;2
72;-1.73;-16.41;-0.10;-51;-484;-3;19.80;2
73;-1.76;-16.41;-0.10;-52;-484;-3;19.67;2
74;-1.66;-16.47;-0.10;-49;-486;-3;19.67;2
75;-1.73;-16.51;-0.07;-51;-487;-2;19.74;2
76;-1.97;-16.37;-0.14;-58;-483;-4;19.74;2
77;-1.97;-16.37;-0.10;-58;-483;-3;19.80;2
78;-1.76;-16.34;-0.14;-52;-482;-4;19.47;2
79;-1.80;-16.47;-0.14;-53;-486;-4;19.61;2
80;-1.80;-16.54;0.00;-53;-488;0;19.80;2
81;-1.80;-16.47;-0.07;-53;-486;-2;19.54;2
82;-1.73;-16.44;-0.10;-51;-485;-3;19.74;2
83;-1.76;-16.58;-0.17;-52;-489;-5;19.74;2
84;-1.66;-16.27;-0.14;-49;-480;-4;19.61;2
85;-1.69;-16.41;0.00;-50;-484;0;19.47;2
86;-1.93;-16.44;-0.10;-57;-485;-3;19.80;2
87;-1.90;-16.54;-0.10;-56;-488;-3;19.67;2
88;-1.83;-16.27;-0.10;-54;-480;-3;19.54;2
89;-1.56;-16.47;-0.14;-46;-486;-4;19.54;2
90;-1.83;-16.31;-0.10;-54;-481;-3;19.74;2
91;-1.80;-16.54;-0.07;-53;-488;-2;19.87;2
92;-1.90;-16.58;-0.17;-56;-489;-5;19.54;2
93;-1.76;-16.58;-0.10;-52;-489;-3;19.67;2
94;-1.63;-16.34;-0.10;-48;-482;-3;19.74;2
95;-1.90;-16.34;-0.10;-56;-482;-3;19.74;2
96;-1.73;-16.41;-0.10;-51;-484;-3;19.80;2
97;-1.66;-16.37;-0.20;-49;-483;-6;19.74;2
98;-1.56;-16.54;-0.07;-46;-488;-2;19.93;2
99;-1.73;-16.47;-0.14;-51;-486;-4;19.67;2
100;-1.86;-16.44;-0.07;-55;-485;-2;19.80;2
101;-1.80;-16.37;-0.07;-53;-483;-2;19.67;2
102;-1.83;-16.44;-0.07;-54;-485;-2;19.54;2
103;-1.76;-16.41;-0.14;-52;-484;-4;19.47;2
