Date;30.10.2025
Time;17.05.10
Sensor name:;TLE493D-P3I8

Comment:;4


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-11.63;-61.59;2.37;-343;-1817;70;20.00;2
2;-11.39;-61.46;2.41;-336;-1813;71;20.00;2
3;-11.39;-61.46;2.41;-336;-1813;71;19.93;2
4;-11.46;-61.59;2.34;-338;-1817;69;19.93;2
5;-11.56;-61.59;2.37;-341;-1817;70;20.07;2
6;-11.53;-61.49;2.37;-340;-1814;70;20.07;2
7;-11.66;-61.63;2.47;-344;-1818;73;19.87;2
8;-11.59;-61.49;2.37;-342;-1814;70;19.80;2
9;-11.56;-61.59;2.34;-341;-1817;69;19.61;2
10;-11.59;-61.56;2.44;-342;-1816;72;19.87;2
11;-11.49;-61.56;2.41;-339;-1816;71;20.07;2
12;-11.53;-61.59;2.41;-340;-1817;71;20.20;2
13;-11.42;-61.59;2.44;-337;-1817;72;20.13;2
14;-11.56;-61.46;2.41;-341;-1813;71;20.13;2
15;-11.53;-61.53;2.37;-340;-1815;70;20.00;2
16;-11.59;-61.49;2.47;-342;-1814;73;19.93;2
17;-11.49;-61.32;2.37;-339;-1809;70;20.20;2
18;-11.46;-61.56;2.37;-338;-1816;70;20.33;2
19;-11.53;-61.53;2.24;-340;-1815;66;20.00;2
20;-11.46;-61.53;2.37;-338;-1815;70;19.87;2
21;-11.59;-61.36;2.37;-342;-1810;70;20.13;2
22;-11.63;-61.59;2.37;-343;-1817;70;20.00;2
23;-11.56;-61.63;2.37;-341;-1818;70;20.13;2
24;-11.63;-61.49;2.31;-343;-1814;68;20.07;2
25;-11.63;-61.56;2.41;-343;-1816;71;20.13;2
26;-11.59;-61.53;2.41;-342;-1815;71;20.07;2
27;-11.59;-61.53;2.41;-342;-1815;71;19.87;2
28;-11.59;-61.46;2.44;-342;-1813;72;19.80;2
29;-11.63;-61.49;2.47;-343;-1814;73;20.13;2
30;-11.59;-61.49;2.34;-342;-1814;69;19.93;2
31;-11.56;-61.56;2.31;-341;-1816;68;19.87;2
32;-11.56;-61.53;2.37;-341;-1815;70;19.93;2
33;-11.66;-61.53;2.27;-344;-1815;67;20.26;2
34;-11.56;-61.59;2.47;-341;-1817;73;20.39;2
35;-11.53;-61.49;2.41;-340;-1814;71;20.13;2
36;-11.46;-61.53;2.47;-338;-1815;73;19.87;2
37;-11.53;-61.59;2.31;-340;-1817;68;19.87;2
38;-11.59;-61.53;2.54;-342;-1815;75;19.80;2
39;-11.53;-61.49;2.37;-340;-1814;70;20.00;2
40;-11.46;-61.49;2.47;-338;-1814;73;20.07;2
41;-11.49;-61.53;2.44;-339;-1815;72;20.00;2
42;-11.53;-61.53;2.51;-340;-1815;74;19.93;2
