Date;30.10.2025
Time;17.19.05
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.17;-0.24;-0.07;5;-7;-2;19.74;2
2;0.14;-0.24;0.03;4;-7;1;19.80;2
3;0.14;-0.20;-0.03;4;-6;-1;19.61;2
4;0.14;-0.14;-0.07;4;-4;-2;19.47;2
5;0.07;-0.20;-0.10;2;-6;-3;19.47;2
6;0.17;-0.24;0.00;5;-7;0;19.61;2
7;0.24;-0.27;-0.03;7;-8;-1;19.74;2
8;-0.14;-0.27;0.00;-4;-8;0;19.47;2
9;0.10;-0.17;-0.03;3;-5;-1;19.61;2
10;0.10;-0.31;-0.10;3;-9;-3;19.41;2
11;0.14;-0.14;0.00;4;-4;0;19.61;2
12;0.20;-0.20;-0.14;6;-6;-4;19.54;2
13;0.20;-0.17;0.00;6;-5;0;19.74;2
14;0.10;-0.17;-0.07;3;-5;-2;19.54;2
15;0.10;-0.17;0.00;3;-5;0;19.61;2
16;0.20;-0.17;-0.03;6;-5;-1;19.67;2
17;0.10;-0.20;-0.03;3;-6;-1;19.74;2
18;0.17;-0.24;-0.03;5;-7;-1;19.41;2
19;0.20;-0.17;-0.07;6;-5;-2;19.47;2
20;0.07;-0.03;-0.07;2;-1;-2;19.74;2
21;0.17;-0.10;-0.07;5;-3;-2;19.67;2
22;0.07;-0.24;-0.07;2;-7;-2;19.34;2
23;0.17;-0.31;0.00;5;-9;0;19.74;2
24;0.10;-0.17;-0.07;3;-5;-2;19.67;2
25;0.07;-0.17;-0.07;2;-5;-2;19.80;2
26;0.20;-0.17;0.00;6;-5;0;19.74;2
27;0.17;-0.14;-0.07;5;-4;-2;19.54;2
28;-0.07;-0.27;-0.03;-2;-8;-1;19.67;2
29;0.03;-0.20;-0.07;1;-6;-2;19.47;2
30;0.17;-0.07;-0.10;5;-2;-3;19.47;2
31;0.14;-0.14;-0.10;4;-4;-3;19.61;2
32;0.07;-0.10;-0.07;2;-3;-2;19.47;2
33;0.14;-0.17;-0.07;4;-5;-2;19.67;2
34;0.14;-0.24;-0.07;4;-7;-2;19.54;2
35;0.10;-0.10;-0.03;3;-3;-1;19.54;2
36;0.00;-0.17;-0.07;0;-5;-2;19.41;2
37;0.00;-0.20;-0.03;0;-6;-1;19.47;2
38;0.14;-0.07;-0.07;4;-2;-2;19.61;2
39;0.00;-0.24;-0.07;0;-7;-2;19.54;2
40;0.17;-0.20;-0.07;5;-6;-2;19.61;2
41;0.03;-0.17;-0.07;1;-5;-2;19.41;2
42;0.17;0.00;-0.10;5;0;-3;19.74;2
43;0.14;-0.24;-0.07;4;-7;-2;19.67;2
44;0.17;-0.17;-0.07;5;-5;-2;19.80;2
45;0.07;-0.27;0.03;2;-8;1;19.41;2
46;0.10;-0.20;-0.10;3;-6;-3;19.47;2
47;0.07;-0.24;-0.03;2;-7;-1;19.61;2
48;0.14;-0.07;-0.07;4;-2;-2;19.61;2
49;-0.03;-0.31;0.00;-1;-9;0;19.61;2
50;0.27;-0.17;-0.07;8;-5;-2;19.34;2
51;0.20;0.00;-0.03;6;0;-1;19.61;2
52;0.10;-0.24;-0.10;3;-7;-3;19.67;2
53;0.14;-0.24;-0.07;4;-7;-2;19.54;2
54;0.10;-0.07;-0.07;3;-2;-2;19.61;2
55;0.03;-0.10;0.00;1;-3;0;19.61;2
56;-0.07;-0.20;-0.03;-2;-6;-1;19.74;2
57;0.03;-0.17;-0.03;1;-5;-1;19.87;2
58;0.07;-0.10;-0.07;2;-3;-2;19.47;2
59;0.03;-0.24;0.00;1;-7;0;19.54;2
60;0.10;-0.17;-0.03;3;-5;-1;19.61;2
61;0.00;-0.07;-0.10;0;-2;-3;19.47;2
62;0.10;-0.07;-0.07;3;-2;-2;19.74;2
63;0.03;-0.20;-0.07;1;-6;-2;19.54;2
64;0.14;-0.07;-0.07;4;-2;-2;19.41;2
65;0.10;-0.24;-0.03;3;-7;-1;19.54;2
66;0.07;-0.10;0.00;2;-3;0;19.41;2
67;0.07;-0.07;-0.07;2;-2;-2;19.47;2
68;0.24;-0.20;-0.10;7;-6;-3;19.67;2
69;0.03;-0.20;0.03;1;-6;1;19.87;2
70;0.07;-0.07;-0.07;2;-2;-2;19.54;2
71;0.20;-0.17;-0.07;6;-5;-2;19.54;2
72;0.14;-0.20;0.00;4;-6;0;19.54;2
73;0.17;-0.07;-0.03;5;-2;-1;19.67;2
74;0.03;-0.24;-0.10;1;-7;-3;19.28;2
75;0.10;-0.10;-0.07;3;-3;-2;19.80;2
76;0.10;-0.14;0.03;3;-4;1;19.74;2
77;0.03;-0.17;0.03;1;-5;1;19.54;2
78;0.17;-0.31;0.00;5;-9;0;19.61;2
79;0.03;-0.14;0.03;1;-4;1;19.74;2
80;0.03;-0.10;-0.07;1;-3;-2;19.61;2
81;0.10;-0.14;0.00;3;-4;0;19.80;2
82;0.07;-0.10;-0.07;2;-3;-2;19.87;2
83;0.14;-0.14;-0.14;4;-4;-4;19.61;2
84;0.20;-0.24;-0.07;6;-7;-2;19.61;2
85;0.17;-0.31;-0.07;5;-9;-2;19.74;2
86;0.00;-0.27;-0.10;0;-8;-3;19.54;2
87;0.14;-0.17;-0.10;4;-5;-3;19.28;2
88;0.03;-0.24;-0.20;1;-7;-6;19.41;2
89;0.10;-0.17;-0.03;3;-5;-1;19.67;2
90;0.20;-0.07;-0.07;6;-2;-2;19.87;2
91;0.14;-0.07;-0.07;4;-2;-2;19.47;2
92;0.17;-0.31;0.07;5;-9;2;19.54;2
93;0.14;-0.20;-0.10;4;-6;-3;20.07;2
94;0.03;-0.17;-0.07;1;-5;-2;19.61;2
95;0.14;-0.24;0.00;4;-7;0;19.41;2
96;0.10;-0.31;-0.07;3;-9;-2;19.74;2
97;0.14;-0.17;-0.07;4;-5;-2;19.74;2
98;0.10;-0.20;-0.07;3;-6;-2;19.54;2
99;0.07;-0.03;-0.07;2;-1;-2;19.54;2
100;0.14;-0.20;-0.10;4;-6;-3;19.47;2
101;0.10;-0.10;-0.07;3;-3;-2;19.67;2
102;0.20;-0.27;-0.07;6;-8;-2;19.80;2
103;0.03;-0.14;-0.03;1;-4;-1;19.80;2
104;0.10;-0.17;-0.03;3;-5;-1;19.80;2
105;0.14;-0.14;0.07;4;-4;2;19.61;2
106;-0.10;-0.20;-0.10;-3;-6;-3;19.74;2
107;0.20;-0.20;-0.03;6;-6;-1;19.41;2
108;0.17;-0.24;-0.03;5;-7;-1;19.34;2
109;0.10;-0.31;0.00;3;-9;0;19.61;2
110;0.10;-0.07;0.00;3;-2;0;19.80;2
111;0.10;-0.14;0.07;3;-4;2;19.54;2
112;0.10;-0.20;-0.07;3;-6;-2;19.54;2
113;0.07;-0.14;-0.07;2;-4;-2;19.47;2
114;0.14;-0.14;-0.17;4;-4;-5;19.41;2
115;0.20;-0.20;-0.10;6;-6;-3;19.54;2
116;-0.07;-0.27;-0.07;-2;-8;-2;19.41;2
117;0.03;-0.14;-0.07;1;-4;-2;19.74;2
118;0.20;-0.27;0.00;6;-8;0;19.54;2
119;0.03;-0.24;-0.10;1;-7;-3;19.54;2
120;0.00;-0.17;-0.10;0;-5;-3;19.74;2
121;0.14;-0.14;-0.03;4;-4;-1;19.61;2
122;0.00;-0.17;0.00;0;-5;0;19.54;2
123;0.31;-0.20;-0.07;9;-6;-2;19.47;2
124;0.07;-0.27;-0.03;2;-8;-1;19.67;2
125;0.14;-0.14;-0.03;4;-4;-1;19.41;2
126;-0.03;-0.17;-0.10;-1;-5;-3;19.67;2
127;-0.07;-0.24;-0.07;-2;-7;-2;19.61;2
128;0.17;-0.14;-0.10;5;-4;-3;19.80;2
