Date;30.10.2025
Time;17.18.02
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.10;-0.17;-0.10;3;-5;-3;19.74;2
2;0.10;-0.20;-0.14;3;-6;-4;19.41;2
3;0.17;-0.37;0.00;5;-11;0;19.74;2
4;0.00;-0.27;-0.07;0;-8;-2;19.80;2
5;0.07;-0.34;-0.03;2;-10;-1;19.61;2
6;0.10;-0.27;-0.10;3;-8;-3;19.28;2
7;0.00;-0.34;-0.10;0;-10;-3;19.74;2
8;0.03;-0.31;-0.07;1;-9;-2;19.54;2
9;0.10;-0.27;0.00;3;-8;0;19.47;2
10;0.07;-0.27;-0.07;2;-8;-2;19.93;2
11;0.07;-0.14;-0.07;2;-4;-2;19.47;2
12;0.03;-0.37;0.00;1;-11;0;19.61;2
13;0.20;-0.24;-0.10;6;-7;-3;19.80;2
14;0.14;-0.27;-0.03;4;-8;-1;19.41;2
15;0.10;-0.27;-0.10;3;-8;-3;19.41;2
16;0.14;-0.31;-0.03;4;-9;-1;19.41;2
17;0.17;-0.31;-0.10;5;-9;-3;19.74;2
18;0.24;-0.24;-0.10;7;-7;-3;19.67;2
19;0.00;-0.34;-0.07;0;-10;-2;19.74;2
20;0.07;-0.44;-0.10;2;-13;-3;19.54;2
21;0.14;-0.34;0.00;4;-10;0;19.41;2
22;0.07;-0.31;-0.07;2;-9;-2;19.47;2
23;0.20;-0.34;0.00;6;-10;0;19.61;2
24;0.03;-0.31;-0.14;1;-9;-4;19.41;2
25;0.00;-0.31;-0.07;0;-9;-2;19.47;2
26;0.10;-0.20;0.00;3;-6;0;19.54;2
27;0.14;-0.31;-0.07;4;-9;-2;19.74;2
28;-0.03;-0.20;-0.10;-1;-6;-3;19.67;2
29;0.14;-0.31;-0.07;4;-9;-2;19.47;2
30;0.20;-0.37;-0.10;6;-11;-3;19.54;2
31;0.17;-0.37;-0.03;5;-11;-1;19.54;2
32;0.07;-0.24;-0.03;2;-7;-1;19.80;2
33;0.27;-0.27;-0.07;8;-8;-2;19.61;2
34;0.14;-0.31;-0.14;4;-9;-4;19.54;2
35;0.10;-0.44;-0.03;3;-13;-1;19.61;2
36;0.31;-0.34;-0.03;9;-10;-1;19.47;2
37;0.17;-0.41;-0.07;5;-12;-2;19.61;2
38;0.14;-0.34;-0.03;4;-10;-1;19.74;2
39;0.14;-0.31;-0.10;4;-9;-3;19.61;2
40;0.10;-0.24;-0.10;3;-7;-3;19.54;2
41;0.20;-0.34;-0.07;6;-10;-2;19.47;2
42;0.07;-0.24;-0.10;2;-7;-3;19.80;2
43;0.03;-0.37;-0.07;1;-11;-2;19.74;2
44;0.07;-0.31;-0.10;2;-9;-3;19.61;2
45;0.00;-0.27;-0.10;0;-8;-3;19.47;2
46;0.03;-0.31;-0.14;1;-9;-4;19.54;2
47;0.14;-0.20;-0.03;4;-6;-1;19.67;2
48;0.14;-0.27;-0.14;4;-8;-4;19.74;2
49;0.00;-0.31;-0.03;0;-9;-1;19.54;2
50;0.03;-0.27;0.03;1;-8;1;19.74;2
51;0.14;-0.41;0.03;4;-12;1;19.61;2
52;0.10;-0.34;-0.07;3;-10;-2;19.87;2
53;0.14;-0.37;-0.07;4;-11;-2;19.54;2
54;0.24;-0.31;-0.14;7;-9;-4;19.61;2
55;-0.07;-0.37;-0.07;-2;-11;-2;19.67;2
56;0.00;-0.31;-0.03;0;-9;-1;19.67;2
57;0.00;-0.31;-0.07;0;-9;-2;19.61;2
58;0.24;-0.41;0.03;7;-12;1;19.54;2
59;0.14;-0.37;-0.03;4;-11;-1;19.61;2
60;0.20;-0.34;-0.14;6;-10;-4;19.61;2
61;0.03;-0.24;-0.07;1;-7;-2;19.74;2
62;0.20;-0.31;-0.10;6;-9;-3;19.61;2
63;0.07;-0.20;-0.14;2;-6;-4;19.54;2
64;0.07;-0.44;-0.03;2;-13;-1;19.54;2
65;0.07;-0.41;-0.07;2;-12;-2;19.54;2
66;-0.03;-0.31;-0.14;-1;-9;-4;19.41;2
67;0.03;-0.20;-0.10;1;-6;-3;19.47;2
68;0.03;-0.24;-0.07;1;-7;-2;19.80;2
69;0.14;-0.24;-0.07;4;-7;-2;19.67;2
70;0.03;-0.27;-0.10;1;-8;-3;19.74;2
71;-0.10;-0.37;-0.07;-3;-11;-2;19.67;2
72;0.03;-0.34;-0.07;1;-10;-2;19.74;2
73;0.14;-0.37;-0.03;4;-11;-1;19.80;2
74;0.14;-0.20;-0.07;4;-6;-2;19.61;2
75;0.17;-0.34;-0.07;5;-10;-2;19.80;2
76;0.07;-0.31;-0.07;2;-9;-2;19.67;2
77;-0.07;-0.20;-0.10;-2;-6;-3;19.34;2
78;0.07;-0.27;-0.07;2;-8;-2;19.67;2
79;0.07;-0.27;-0.10;2;-8;-3;19.80;2
80;0.14;-0.41;0.03;4;-12;1;19.47;2
81;0.07;-0.14;-0.10;2;-4;-3;19.47;2
82;0.14;-0.34;0.00;4;-10;0;19.41;2
83;0.10;-0.20;-0.03;3;-6;-1;19.61;2
84;0.03;-0.24;-0.03;1;-7;-1;19.61;2
85;0.03;-0.37;-0.03;1;-11;-1;19.54;2
86;0.07;-0.27;-0.24;2;-8;-7;19.47;2
87;0.10;-0.31;-0.07;3;-9;-2;19.74;2
