Date;30.10.2025
Time;17.19.17
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.17;-0.10;-0.14;5;-3;-4;19.54;2
2;-0.07;-0.10;-0.07;-2;-3;-2;19.54;2
3;0.14;-0.03;-0.07;4;-1;-2;19.54;2
4;0.20;-0.10;-0.10;6;-3;-3;19.93;2
5;0.14;-0.07;0.00;4;-2;0;19.80;2
6;0.17;-0.03;0.00;5;-1;0;19.87;2
7;0.10;-0.27;0.03;3;-8;1;19.54;2
8;0.20;-0.10;-0.07;6;-3;-2;19.74;2
9;0.14;-0.24;-0.03;4;-7;-1;19.47;2
10;0.14;-0.24;-0.07;4;-7;-2;20.00;2
11;0.17;-0.24;0.00;5;-7;0;19.61;2
12;-0.03;-0.10;0.00;-1;-3;0;19.54;2
13;0.10;-0.03;-0.03;3;-1;-1;19.67;2
14;0.14;-0.10;-0.07;4;-3;-2;19.93;2
15;0.10;-0.14;-0.07;3;-4;-2;19.74;2
16;0.07;-0.27;-0.10;2;-8;-3;19.67;2
17;0.27;-0.20;-0.07;8;-6;-2;19.61;2
18;0.17;-0.10;-0.07;5;-3;-2;19.54;2
19;0.24;-0.17;-0.07;7;-5;-2;19.54;2
20;0.17;-0.14;-0.10;5;-4;-3;19.54;2
21;0.17;-0.14;-0.07;5;-4;-2;20.07;2
22;0.20;-0.17;-0.07;6;-5;-2;19.47;2
23;-0.07;-0.03;-0.07;-2;-1;-2;19.80;2
24;0.03;-0.14;-0.10;1;-4;-3;19.93;2
25;0.10;-0.14;-0.10;3;-4;-3;19.87;2
26;0.10;-0.20;-0.07;3;-6;-2;19.54;2
27;0.20;-0.17;0.03;6;-5;1;19.61;2
28;0.20;-0.10;0.00;6;-3;0;19.74;2
29;0.07;-0.10;-0.07;2;-3;-2;19.61;2
30;0.00;-0.17;-0.10;0;-5;-3;19.74;2
31;0.14;-0.07;-0.10;4;-2;-3;19.61;2
32;0.07;-0.17;-0.07;2;-5;-2;19.54;2
33;0.20;-0.14;-0.03;6;-4;-1;19.80;2
34;0.17;-0.34;-0.07;5;-10;-2;19.74;2
35;0.24;-0.10;0.00;7;-3;0;19.67;2
36;0.07;-0.17;-0.07;2;-5;-2;19.61;2
37;-0.03;-0.03;-0.10;-1;-1;-3;19.67;2
38;0.24;-0.24;-0.07;7;-7;-2;19.67;2
39;0.10;-0.20;-0.10;3;-6;-3;19.74;2
40;0.24;0.00;0.00;7;0;0;19.61;2
41;0.14;-0.14;0.00;4;-4;0;19.80;2
42;0.27;-0.03;-0.07;8;-1;-2;19.80;2
43;0.10;-0.20;-0.10;3;-6;-3;19.47;2
44;0.03;0.00;-0.03;1;0;-1;19.54;2
45;0.14;-0.17;0.03;4;-5;1;19.67;2
46;0.14;-0.17;0.00;4;-5;0;19.67;2
47;0.07;-0.10;0.03;2;-3;1;19.67;2
48;0.10;-0.17;-0.17;3;-5;-5;19.54;2
49;0.10;-0.14;-0.03;3;-4;-1;19.80;2
50;0.14;-0.17;-0.03;4;-5;-1;19.54;2
51;0.07;-0.14;-0.07;2;-4;-2;19.54;2
52;-0.03;-0.24;-0.03;-1;-7;-1;19.47;2
53;-0.07;-0.34;0.03;-2;-10;1;19.41;2
54;0.17;-0.10;-0.07;5;-3;-2;19.74;2
55;0.17;-0.20;-0.07;5;-6;-2;19.61;2
56;0.17;-0.24;-0.03;5;-7;-1;19.80;2
57;0.10;-0.17;0.07;3;-5;2;19.74;2
58;0.17;-0.10;-0.07;5;-3;-2;19.67;2
59;0.07;-0.24;-0.03;2;-7;-1;19.67;2
60;0.10;-0.17;-0.07;3;-5;-2;19.74;2
61;0.14;-0.17;0.00;4;-5;0;19.80;2
62;-0.14;-0.14;-0.03;-4;-4;-1;19.08;2
63;0.24;-0.17;0.00;7;-5;0;19.87;2
64;0.20;-0.17;0.00;6;-5;0;19.54;2
65;0.17;-0.20;-0.07;5;-6;-2;19.67;2
66;0.00;-0.10;-0.07;0;-3;-2;19.41;2
67;0.03;-0.17;-0.10;1;-5;-3;19.41;2
68;-0.03;-0.20;-0.07;-1;-6;-2;19.87;2
69;0.03;0.00;-0.10;1;0;-3;19.61;2
70;0.14;-0.14;-0.10;4;-4;-3;19.54;2
71;0.10;-0.10;-0.07;3;-3;-2;19.74;2
72;0.17;-0.17;-0.07;5;-5;-2;19.61;2
73;0.14;-0.03;-0.14;4;-1;-4;19.47;2
74;0.10;-0.07;-0.03;3;-2;-1;19.67;2
75;0.17;-0.31;-0.10;5;-9;-3;19.80;2
76;0.24;-0.17;-0.17;7;-5;-5;19.41;2
77;0.07;-0.10;0.00;2;-3;0;19.54;2
78;0.10;-0.24;0.00;3;-7;0;19.61;2
79;0.31;-0.20;-0.10;9;-6;-3;19.61;2
80;0.17;-0.14;-0.10;5;-4;-3;19.67;2
81;0.07;-0.14;0.03;2;-4;1;19.47;2
82;0.07;-0.17;-0.07;2;-5;-2;19.61;2
83;0.17;-0.20;-0.03;5;-6;-1;19.54;2
84;0.17;-0.03;-0.10;5;-1;-3;19.74;2
85;0.00;-0.20;-0.07;0;-6;-2;19.74;2
86;0.03;-0.14;-0.14;1;-4;-4;19.80;2
87;0.20;-0.14;-0.10;6;-4;-3;19.74;2
88;0.14;-0.07;-0.10;4;-2;-3;19.61;2
89;0.10;-0.24;0.00;3;-7;0;19.67;2
90;0.10;-0.24;-0.03;3;-7;-1;19.74;2
91;0.24;-0.27;-0.07;7;-8;-2;19.74;2
