Date;30.10.2025
Time;17.12.38
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.00;-0.85;-0.10;0;-25;-3;19.28;2
2;-0.03;-0.88;-0.14;-1;-26;-4;19.54;2
3;0.03;-0.98;-0.10;1;-29;-3;19.61;2
4;0.10;-0.88;-0.10;3;-26;-3;19.61;2
5;0.03;-0.78;-0.17;1;-23;-5;20.07;2
6;-0.03;-1.05;-0.14;-1;-31;-4;19.47;2
7;-0.07;-0.88;-0.07;-2;-26;-2;19.28;2
8;0.07;-0.81;-0.03;2;-24;-1;19.54;2
9;0.10;-0.88;-0.07;3;-26;-2;19.54;2
10;0.07;-0.85;-0.14;2;-25;-4;19.61;2
11;0.07;-0.78;-0.07;2;-23;-2;19.54;2
12;0.14;-1.05;-0.07;4;-31;-2;19.67;2
13;0.03;-0.88;-0.17;1;-26;-5;19.47;2
14;0.20;-0.95;-0.07;6;-28;-2;19.74;2
15;0.07;-0.88;-0.10;2;-26;-3;19.41;2
16;0.07;-0.88;-0.17;2;-26;-5;19.47;2
17;0.10;-0.95;-0.14;3;-28;-4;19.34;2
18;0.07;-0.85;-0.07;2;-25;-2;19.34;2
19;0.17;-0.81;0.00;5;-24;0;19.41;2
20;0.03;-1.02;-0.17;1;-30;-5;19.54;2
21;0.03;-0.81;-0.07;1;-24;-2;19.80;2
22;0.31;-0.81;-0.07;9;-24;-2;19.80;2
23;0.14;-0.78;-0.10;4;-23;-3;19.87;2
24;0.03;-0.81;-0.10;1;-24;-3;19.54;2
25;0.14;-0.81;-0.17;4;-24;-5;19.67;2
26;0.10;-0.75;-0.07;3;-22;-2;19.54;2
27;0.14;-0.95;-0.17;4;-28;-5;19.61;2
28;0.07;-0.92;-0.14;2;-27;-4;19.41;2
29;0.03;-0.85;-0.10;1;-25;-3;19.54;2
30;0.10;-0.98;-0.03;3;-29;-1;19.28;2
31;0.07;-0.92;0.00;2;-27;0;19.67;2
32;0.17;-0.85;-0.03;5;-25;-1;19.54;2
33;0.10;-0.95;-0.14;3;-28;-4;19.54;2
34;0.07;-0.95;-0.07;2;-28;-2;19.54;2
35;-0.03;-0.95;-0.03;-1;-28;-1;19.41;2
36;0.07;-0.95;-0.07;2;-28;-2;19.54;2
37;-0.10;-0.85;-0.14;-3;-25;-4;19.47;2
38;0.14;-0.75;-0.10;4;-22;-3;19.28;2
39;0.07;-0.92;-0.14;2;-27;-4;19.54;2
40;0.10;-0.98;-0.10;3;-29;-3;19.41;2
41;0.03;-0.92;-0.10;1;-27;-3;19.34;2
42;0.07;-1.02;-0.17;2;-30;-5;19.54;2
43;0.10;-0.92;-0.10;3;-27;-3;19.61;2
44;-0.07;-0.92;-0.10;-2;-27;-3;19.47;2
45;0.17;-0.85;-0.10;5;-25;-3;19.47;2
46;0.27;-0.81;-0.03;8;-24;-1;19.41;2
47;0.07;-1.02;-0.07;2;-30;-2;19.47;2
48;0.10;-1.05;-0.14;3;-31;-4;19.74;2
49;0.14;-0.81;-0.07;4;-24;-2;19.61;2
50;0.10;-0.92;-0.10;3;-27;-3;19.67;2
51;0.07;-0.98;0.00;2;-29;0;19.34;2
52;0.24;-1.02;-0.10;7;-30;-3;19.47;2
53;0.03;-0.85;-0.10;1;-25;-3;19.67;2
54;0.07;-0.95;-0.03;2;-28;-1;19.74;2
55;0.17;-0.81;-0.10;5;-24;-3;19.47;2
56;0.03;-0.95;-0.14;1;-28;-4;19.80;2
57;0.10;-1.02;-0.07;3;-30;-2;19.61;2
58;0.03;-1.02;-0.10;1;-30;-3;19.61;2
59;0.03;-0.88;-0.20;1;-26;-6;19.74;2
60;0.00;-0.98;-0.07;0;-29;-2;19.54;2
61;0.24;-0.98;-0.07;7;-29;-2;19.54;2
62;0.00;-0.95;-0.10;0;-28;-3;19.34;2
63;0.03;-1.02;-0.07;1;-30;-2;19.54;2
64;0.07;-0.81;-0.10;2;-24;-3;19.47;2
65;0.07;-0.88;-0.17;2;-26;-5;19.74;2
66;0.14;-1.02;-0.07;4;-30;-2;19.67;2
67;0.10;-0.92;-0.03;3;-27;-1;19.67;2
68;0.07;-0.92;-0.10;2;-27;-3;19.54;2
69;0.00;-0.78;-0.07;0;-23;-2;19.80;2
70;0.03;-0.95;-0.10;1;-28;-3;19.54;2
71;0.20;-0.98;-0.07;6;-29;-2;19.54;2
72;0.03;-0.95;-0.07;1;-28;-2;19.67;2
73;0.03;-1.02;-0.10;1;-30;-3;19.54;2
74;0.14;-0.88;-0.07;4;-26;-2;19.41;2
75;-0.07;-0.92;-0.10;-2;-27;-3;19.47;2
76;0.10;-0.95;0.03;3;-28;1;19.41;2
77;0.14;-1.02;-0.10;4;-30;-3;19.34;2
78;-0.10;-0.92;-0.14;-3;-27;-4;19.80;2
79;0.10;-0.92;-0.17;3;-27;-5;19.54;2
80;0.10;-0.92;-0.07;3;-27;-2;19.41;2
81;0.14;-0.98;-0.03;4;-29;-1;19.54;2
82;0.14;-0.95;-0.10;4;-28;-3;19.80;2
83;0.03;-0.92;-0.10;1;-27;-3;19.74;2
84;0.00;-1.02;-0.03;0;-30;-1;19.54;2
85;0.00;-1.02;-0.10;0;-30;-3;19.74;2
86;0.10;-0.85;-0.10;3;-25;-3;19.54;2
87;0.07;-0.78;-0.10;2;-23;-3;19.41;2
88;0.14;-0.78;-0.20;4;-23;-6;19.61;2
89;0.10;-0.88;-0.10;3;-26;-3;19.54;2
90;0.03;-0.88;-0.07;1;-26;-2;19.67;2
91;0.07;-0.95;-0.07;2;-28;-2;19.54;2
92;0.03;-0.88;-0.10;1;-26;-3;19.54;2
93;0.07;-1.02;-0.10;2;-30;-3;19.54;2
94;-0.03;-0.88;0.00;-1;-26;0;19.61;2
95;0.03;-0.95;-0.07;1;-28;-2;19.54;2
96;0.31;-0.95;-0.10;9;-28;-3;19.34;2
97;0.07;-0.75;-0.14;2;-22;-4;19.67;2
98;0.17;-0.85;-0.07;5;-25;-2;19.47;2
99;0.14;-0.98;-0.07;4;-29;-2;19.67;2
100;0.10;-0.98;-0.07;3;-29;-2;19.54;2
101;-0.03;-0.98;-0.03;-1;-29;-1;19.67;2
102;-0.03;-0.92;-0.14;-1;-27;-4;19.74;2
103;0.07;-0.88;-0.14;2;-26;-4;19.28;2
104;0.07;-0.92;-0.10;2;-27;-3;19.61;2
105;-0.03;-0.88;-0.07;-1;-26;-2;19.61;2
106;0.17;-0.92;-0.10;5;-27;-3;19.54;2
107;-0.03;-0.98;-0.10;-1;-29;-3;19.34;2
108;-0.03;-0.92;-0.10;-1;-27;-3;19.80;2
109;-0.07;-0.88;-0.17;-2;-26;-5;19.54;2
110;0.07;-0.88;-0.10;2;-26;-3;19.74;2
111;0.17;-0.81;-0.14;5;-24;-4;19.61;2
112;0.03;-0.92;-0.10;1;-27;-3;19.54;2
113;0.10;-0.88;-0.07;3;-26;-2;19.41;2
114;0.24;-0.81;-0.07;7;-24;-2;19.61;2
115;0.27;-0.85;-0.14;8;-25;-4;19.61;2
116;0.07;-0.85;-0.07;2;-25;-2;19.54;2
117;0.17;-0.88;-0.07;5;-26;-2;19.74;2
118;0.07;-0.98;-0.10;2;-29;-3;19.47;2
119;0.07;-0.95;-0.03;2;-28;-1;19.41;2
120;0.14;-0.92;-0.10;4;-27;-3;19.61;2
121;0.00;-0.98;-0.10;0;-29;-3;19.61;2
122;0.07;-0.98;-0.10;2;-29;-3;19.47;2
123;0.00;-0.81;-0.10;0;-24;-3;20.13;2
124;0.10;-0.92;-0.07;3;-27;-2;19.47;2
125;0.10;-0.88;-0.10;3;-26;-3;19.54;2
126;0.07;-0.71;-0.10;2;-21;-3;19.93;2
127;0.10;-0.95;-0.10;3;-28;-3;19.54;2
128;0.17;-0.95;0.00;5;-28;0;19.34;2
129;0.17;-0.88;-0.07;5;-26;-2;19.80;2
130;0.10;-0.98;-0.10;3;-29;-3;19.54;2
131;0.14;-0.98;-0.07;4;-29;-2;19.67;2
132;0.07;-0.71;-0.10;2;-21;-3;19.28;2
133;0.03;-0.81;-0.10;1;-24;-3;19.41;2
134;0.10;-0.85;-0.10;3;-25;-3;19.61;2
135;0.17;-1.02;-0.07;5;-30;-2;19.34;2
136;0.24;-0.92;-0.10;7;-27;-3;19.47;2
137;0.14;-0.95;-0.07;4;-28;-2;19.34;2
138;0.17;-0.92;-0.03;5;-27;-1;19.47;2
139;0.07;-0.85;-0.17;2;-25;-5;19.54;2
140;0.07;-0.92;-0.14;2;-27;-4;19.47;2
141;0.00;-0.92;-0.17;0;-27;-5;19.67;2
142;0.00;-0.92;-0.14;0;-27;-4;19.61;2
143;0.10;-0.92;-0.10;3;-27;-3;19.47;2
144;0.14;-0.85;-0.10;4;-25;-3;20.07;2
145;-0.07;-0.88;-0.10;-2;-26;-3;19.54;2
146;0.10;-1.02;0.03;3;-30;1;19.41;2
147;0.10;-0.95;-0.10;3;-28;-3;19.74;2
148;-0.03;-0.71;-0.14;-1;-21;-4;19.74;2
149;0.03;-0.95;-0.10;1;-28;-3;19.61;2
150;0.10;-1.02;-0.03;3;-30;-1;19.54;2
151;0.03;-0.88;-0.14;1;-26;-4;19.54;2
152;0.03;-0.92;-0.07;1;-27;-2;19.61;2
153;0.24;-0.85;-0.07;7;-25;-2;19.47;2
154;0.17;-1.02;-0.07;5;-30;-2;19.67;2
155;0.07;-0.88;-0.07;2;-26;-2;19.54;2
156;0.14;-0.98;-0.14;4;-29;-4;19.47;2
157;-0.20;-0.92;-0.17;-6;-27;-5;19.34;2
158;0.14;-0.92;-0.03;4;-27;-1;19.74;2
159;0.07;-1.02;-0.07;2;-30;-2;19.61;2
160;0.20;-0.75;-0.03;6;-22;-1;19.74;2
161;0.07;-0.95;-0.10;2;-28;-3;19.47;2
162;0.10;-0.85;-0.17;3;-25;-5;19.67;2
163;0.17;-0.81;0.00;5;-24;0;19.61;2
164;-0.03;-0.88;-0.07;-1;-26;-2;19.61;2
165;0.03;-0.81;-0.03;1;-24;-1;19.61;2
166;0.10;-0.85;-0.10;3;-25;-3;19.80;2
167;-0.03;-0.92;-0.03;-1;-27;-1;19.54;2
168;0.03;-0.92;-0.07;1;-27;-2;19.47;2
169;0.03;-0.81;-0.03;1;-24;-1;19.54;2
170;0.10;-1.02;-0.10;3;-30;-3;19.87;2
171;0.03;-0.85;-0.17;1;-25;-5;19.74;2
172;0.07;-0.98;-0.03;2;-29;-1;19.54;2
173;0.07;-0.98;-0.14;2;-29;-4;19.67;2
174;0.03;-1.08;0.00;1;-32;0;19.54;2
