Date;30.10.2025
Time;17.15.30
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-0.03;-0.37;-0.10;-1;-11;-3;19.41;2
2;0.14;-0.51;-0.07;4;-15;-2;19.54;2
3;0.14;-0.51;-0.10;4;-15;-3;19.67;2
4;0.07;-0.41;-0.10;2;-12;-3;19.47;2
5;0.17;-0.41;-0.10;5;-12;-3;19.54;2
6;0.00;-0.58;-0.07;0;-17;-2;19.61;2
7;0.03;-0.58;-0.07;1;-17;-2;19.28;2
8;0.00;-0.44;-0.10;0;-13;-3;19.47;2
9;0.14;-0.58;-0.03;4;-17;-1;19.67;2
10;0.07;-0.54;0.00;2;-16;0;19.54;2
11;0.17;-0.58;0.00;5;-17;0;19.61;2
12;0.14;-0.47;-0.10;4;-14;-3;19.61;2
13;-0.03;-0.54;-0.14;-1;-16;-4;19.47;2
14;0.00;-0.51;0.00;0;-15;0;19.67;2
15;0.07;-0.41;-0.14;2;-12;-4;19.28;2
16;-0.14;-0.54;0.00;-4;-16;0;19.54;2
17;0.24;-0.47;-0.07;7;-14;-2;19.74;2
18;0.03;-0.47;-0.10;1;-14;-3;19.67;2
19;0.20;-0.41;-0.20;6;-12;-6;19.80;2
20;0.14;-0.51;-0.10;4;-15;-3;19.41;2
21;0.07;-0.47;-0.14;2;-14;-4;19.34;2
22;0.03;-0.41;-0.14;1;-12;-4;19.47;2
23;0.00;-0.37;-0.14;0;-11;-4;19.54;2
24;0.20;-0.58;-0.17;6;-17;-5;19.41;2
25;0.10;-0.61;-0.14;3;-18;-4;19.67;2
26;0.10;-0.51;-0.10;3;-15;-3;19.61;2
27;0.00;-0.37;-0.07;0;-11;-2;19.67;2
28;0.07;-0.47;-0.07;2;-14;-2;19.80;2
29;0.03;-0.54;-0.03;1;-16;-1;19.61;2
30;0.14;-0.34;-0.14;4;-10;-4;19.34;2
31;0.24;-0.54;-0.14;7;-16;-4;19.54;2
32;0.10;-0.41;-0.07;3;-12;-2;19.47;2
33;-0.03;-0.44;-0.07;-1;-13;-2;19.54;2
34;0.07;-0.51;-0.07;2;-15;-2;19.47;2
35;0.20;-0.54;0.03;6;-16;1;19.47;2
36;-0.03;-0.54;-0.10;-1;-16;-3;19.80;2
37;0.07;-0.51;-0.03;2;-15;-1;19.47;2
38;0.14;-0.51;-0.10;4;-15;-3;19.74;2
39;0.03;-0.47;-0.03;1;-14;-1;19.41;2
40;0.14;-0.58;0.03;4;-17;1;19.54;2
41;0.17;-0.64;-0.03;5;-19;-1;19.67;2
42;0.34;-0.54;0.00;10;-16;0;19.54;2
43;0.07;-0.54;-0.07;2;-16;-2;19.67;2
44;0.07;-0.41;0.00;2;-12;0;19.54;2
45;0.03;-0.44;-0.14;1;-13;-4;19.67;2
46;0.10;-0.41;-0.10;3;-12;-3;19.67;2
47;-0.03;-0.51;0.00;-1;-15;0;19.47;2
48;0.10;-0.41;-0.07;3;-12;-2;19.61;2
49;0.07;-0.51;-0.14;2;-15;-4;19.67;2
50;0.14;-0.58;-0.10;4;-17;-3;19.47;2
51;0.07;-0.54;-0.10;2;-16;-3;19.61;2
52;0.24;-0.58;-0.07;7;-17;-2;19.61;2
53;0.17;-0.54;-0.03;5;-16;-1;19.67;2
54;0.07;-0.47;0.00;2;-14;0;19.41;2
55;0.00;-0.41;-0.07;0;-12;-2;19.54;2
56;0.03;-0.41;-0.10;1;-12;-3;19.34;2
57;0.10;-0.44;-0.14;3;-13;-4;19.61;2
58;0.10;-0.31;-0.07;3;-9;-2;19.34;2
59;0.14;-0.44;-0.03;4;-13;-1;19.74;2
60;0.14;-0.41;-0.10;4;-12;-3;19.67;2
61;0.03;-0.51;-0.20;1;-15;-6;19.47;2
62;0.20;-0.41;-0.14;6;-12;-4;19.61;2
63;0.17;-0.47;-0.14;5;-14;-4;19.54;2
64;0.17;-0.44;0.00;5;-13;0;19.54;2
65;0.14;-0.44;-0.07;4;-13;-2;19.61;2
66;0.20;-0.47;-0.07;6;-14;-2;19.61;2
67;0.03;-0.44;-0.10;1;-13;-3;19.61;2
68;0.03;-0.54;-0.07;1;-16;-2;19.87;2
69;0.03;-0.47;-0.07;1;-14;-2;19.67;2
70;0.14;-0.51;-0.10;4;-15;-3;19.54;2
71;0.03;-0.47;-0.07;1;-14;-2;19.54;2
72;0.14;-0.34;-0.17;4;-10;-5;19.47;2
73;-0.10;-0.47;-0.03;-3;-14;-1;19.61;2
74;0.10;-0.37;-0.07;3;-11;-2;19.80;2
75;0.03;-0.47;-0.10;1;-14;-3;19.41;2
76;0.10;-0.37;-0.03;3;-11;-1;19.54;2
77;0.07;-0.51;-0.17;2;-15;-5;19.47;2
78;0.10;-0.54;-0.07;3;-16;-2;19.87;2
79;0.14;-0.44;-0.03;4;-13;-1;19.41;2
80;0.07;-0.51;-0.07;2;-15;-2;19.61;2
81;0.03;-0.47;-0.10;1;-14;-3;19.67;2
82;0.14;-0.44;0.00;4;-13;0;19.67;2
83;0.17;-0.41;-0.10;5;-12;-3;19.61;2
84;0.10;-0.58;-0.07;3;-17;-2;19.54;2
85;0.17;-0.68;-0.10;5;-20;-3;19.47;2
86;0.20;-0.54;-0.14;6;-16;-4;19.61;2
87;0.07;-0.47;-0.10;2;-14;-3;19.47;2
88;0.07;-0.44;-0.14;2;-13;-4;19.41;2
89;0.24;-0.54;-0.07;7;-16;-2;19.41;2
90;0.10;-0.51;-0.07;3;-15;-2;19.61;2
91;0.10;-0.51;-0.07;3;-15;-2;19.61;2
92;0.00;-0.47;-0.07;0;-14;-2;19.47;2
93;0.10;-0.44;-0.07;3;-13;-2;19.47;2
94;0.20;-0.37;-0.07;6;-11;-2;19.54;2
95;0.03;-0.44;-0.07;1;-13;-2;19.67;2
96;0.07;-0.47;-0.07;2;-14;-2;19.80;2
97;0.10;-0.34;-0.07;3;-10;-2;19.28;2
98;0.14;-0.68;-0.07;4;-20;-2;19.67;2
99;0.17;-0.44;-0.17;5;-13;-5;19.34;2
100;0.03;-0.41;-0.03;1;-12;-1;19.41;2
101;0.10;-0.58;-0.07;3;-17;-2;19.54;2
102;0.14;-0.37;-0.10;4;-11;-3;19.41;2
103;-0.07;-0.47;-0.03;-2;-14;-1;19.74;2
104;0.00;-0.54;-0.10;0;-16;-3;19.47;2
105;0.07;-0.47;0.03;2;-14;1;19.54;2
106;0.14;-0.51;0.00;4;-15;0;19.34;2
