Date;30.10.2025
Time;17.04.58
Sensor name:;TLE493D-P3I8

Comment:;3


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-18.31;-86.81;4.61;-540;-2561;136;20.07;2
2;-18.34;-86.88;4.58;-541;-2563;135;20.13;2
3;-18.31;-86.71;4.58;-540;-2558;135;20.33;2
4;-18.37;-86.75;4.68;-542;-2559;138;20.07;2
5;-18.31;-86.92;4.64;-540;-2564;137;20.20;2
6;-18.37;-86.81;4.68;-542;-2561;138;20.00;2
7;-18.41;-86.68;4.68;-543;-2557;138;19.93;2
8;-18.44;-86.75;4.61;-544;-2559;136;20.20;2
9;-18.20;-86.92;4.61;-537;-2564;136;20.20;2
10;-18.31;-86.85;4.61;-540;-2562;136;20.00;2
11;-18.31;-86.85;4.58;-540;-2562;135;20.07;2
12;-18.31;-86.85;4.64;-540;-2562;137;20.20;2
13;-18.64;-86.85;4.61;-550;-2562;136;20.20;2
14;-18.27;-86.64;4.78;-539;-2556;141;20.13;2
15;-18.51;-86.85;4.61;-546;-2562;136;20.07;2
16;-18.34;-86.88;4.61;-541;-2563;136;20.07;2
17;-18.34;-86.85;4.68;-541;-2562;138;20.26;2
18;-18.37;-86.78;4.68;-542;-2560;138;19.93;2
19;-18.34;-86.68;4.64;-541;-2557;137;20.00;2
20;-18.37;-86.78;4.64;-542;-2560;137;20.20;2
21;-18.27;-86.78;4.68;-539;-2560;138;20.20;2
22;-18.17;-86.88;4.64;-536;-2563;137;20.20;2
23;-18.41;-86.71;4.51;-543;-2558;133;20.20;2
24;-18.47;-86.85;4.61;-545;-2562;136;20.39;2
25;-18.34;-86.71;4.68;-541;-2558;138;20.00;2
26;-18.27;-86.68;4.64;-539;-2557;137;20.20;2
27;-18.34;-86.75;4.64;-541;-2559;137;20.39;2
28;-18.17;-86.68;4.58;-536;-2557;135;20.26;2
29;-18.37;-86.78;4.64;-542;-2560;137;20.46;2
30;-18.31;-86.85;4.68;-540;-2562;138;20.26;2
31;-18.34;-86.75;4.58;-541;-2559;135;20.13;2
32;-18.44;-86.81;4.58;-544;-2561;135;20.20;2
33;-18.27;-86.92;4.61;-539;-2564;136;20.13;2
34;-18.37;-86.88;4.64;-542;-2563;137;20.13;2
35;-18.31;-86.75;4.64;-540;-2559;137;20.07;2
36;-18.37;-86.81;4.71;-542;-2561;139;20.13;2
37;-18.31;-87.08;4.61;-540;-2569;136;20.20;2
38;-18.24;-86.85;4.68;-538;-2562;138;20.53;2
39;-18.47;-86.71;4.61;-545;-2558;136;20.33;2
40;-18.27;-86.81;4.54;-539;-2561;134;20.20;2
41;-18.51;-86.92;4.58;-546;-2564;135;20.07;2
42;-18.47;-86.75;4.71;-545;-2559;139;20.33;2
43;-18.37;-86.71;4.68;-542;-2558;138;20.20;2
44;-18.27;-86.78;4.58;-539;-2560;135;20.26;2
45;-18.34;-86.61;4.58;-541;-2555;135;20.33;2
46;-18.24;-86.85;4.61;-538;-2562;136;20.13;2
47;-18.27;-86.78;4.64;-539;-2560;137;20.20;2
48;-18.34;-86.85;4.71;-541;-2562;139;20.26;2
49;-18.37;-86.64;4.61;-542;-2556;136;20.20;2
50;-18.44;-86.95;4.61;-544;-2565;136;20.07;2
51;-18.51;-86.92;4.71;-546;-2564;139;20.13;2
52;-18.27;-86.71;4.64;-539;-2558;137;20.39;2
53;-18.41;-86.75;4.71;-543;-2559;139;20.07;2
54;-18.37;-86.88;4.71;-542;-2563;139;20.33;2
55;-18.41;-86.78;4.64;-543;-2560;137;20.13;2
56;-18.44;-86.81;4.64;-544;-2561;137;20.33;2
57;-18.27;-86.88;4.68;-539;-2563;138;20.13;2
58;-18.47;-86.78;4.64;-545;-2560;137;20.00;2
59;-18.24;-86.92;4.64;-538;-2564;137;20.20;2
60;-18.24;-86.92;4.54;-538;-2564;134;20.26;2
61;-18.37;-86.88;4.64;-542;-2563;137;19.93;2
62;-18.54;-86.78;4.61;-547;-2560;136;20.07;2
63;-18.24;-86.78;4.61;-538;-2560;136;20.07;2
64;-18.27;-86.68;4.64;-539;-2557;137;19.93;2
65;-18.44;-86.75;4.68;-544;-2559;138;20.13;2
66;-18.24;-86.85;4.68;-538;-2562;138;20.33;2
67;-18.31;-86.85;4.61;-540;-2562;136;20.20;2
68;-18.51;-86.78;4.68;-546;-2560;138;20.07;2
69;-18.44;-86.85;4.71;-544;-2562;139;20.07;2
70;-18.27;-86.78;4.61;-539;-2560;136;20.20;2
71;-18.37;-86.88;4.58;-542;-2563;135;20.20;2
72;-18.44;-86.81;4.61;-544;-2561;136;20.20;2
73;-18.37;-86.85;4.64;-542;-2562;137;20.07;2
74;-18.44;-86.85;4.75;-544;-2562;140;20.07;2
75;-18.41;-87.05;4.61;-543;-2568;136;20.33;2
76;-18.37;-86.78;4.64;-542;-2560;137;19.87;2
77;-18.27;-86.81;4.58;-539;-2561;135;20.20;2
78;-18.41;-86.81;4.68;-543;-2561;138;20.20;2
79;-18.34;-86.85;4.71;-541;-2562;139;20.00;2
80;-18.37;-86.71;4.58;-542;-2558;135;20.39;2
81;-18.34;-86.78;4.61;-541;-2560;136;20.26;2
82;-18.41;-86.81;4.61;-543;-2561;136;20.20;2
83;-18.24;-86.78;4.68;-538;-2560;138;20.00;2
84;-18.41;-86.81;4.71;-543;-2561;139;20.20;2
85;-18.44;-86.78;4.61;-544;-2560;136;20.07;2
86;-18.17;-86.75;4.68;-536;-2559;138;20.20;2
87;-18.37;-86.78;4.68;-542;-2560;138;20.07;2
88;-18.27;-86.68;4.75;-539;-2557;140;20.20;2
89;-18.34;-86.71;4.68;-541;-2558;138;20.13;2
90;-18.44;-86.88;4.71;-544;-2563;139;20.20;2
91;-18.37;-86.92;4.64;-542;-2564;137;19.93;2
92;-18.41;-86.78;4.58;-543;-2560;135;20.26;2
93;-18.31;-86.85;4.64;-540;-2562;137;20.13;2
94;-18.41;-86.88;4.71;-543;-2563;139;20.26;2
95;-18.27;-86.85;4.64;-539;-2562;137;20.33;2
96;-18.34;-86.75;4.68;-541;-2559;138;20.33;2
97;-18.54;-86.81;4.68;-547;-2561;138;20.33;2
98;-18.37;-86.88;4.64;-542;-2563;137;20.00;2
99;-18.24;-86.71;4.68;-538;-2558;138;20.33;2
100;-18.41;-86.92;4.68;-543;-2564;138;20.07;2
101;-18.37;-86.64;4.54;-542;-2556;134;20.39;2
102;-18.31;-86.81;4.68;-540;-2561;138;20.07;2
103;-18.31;-86.78;4.64;-540;-2560;137;20.26;2
104;-18.41;-86.98;4.75;-543;-2566;140;20.07;2
105;-18.27;-86.78;4.68;-539;-2560;138;20.20;2
106;-18.37;-86.81;4.68;-542;-2561;138;20.00;2
107;-18.37;-86.88;4.78;-542;-2563;141;20.20;2
108;-18.47;-86.92;4.61;-545;-2564;136;20.33;2
109;-18.34;-86.81;4.61;-541;-2561;136;20.26;2
110;-18.34;-86.88;4.71;-541;-2563;139;20.20;2
111;-18.51;-86.85;4.58;-546;-2562;135;19.93;2
112;-18.34;-86.85;4.75;-541;-2562;140;20.00;2
113;-18.37;-86.78;4.71;-542;-2560;139;20.20;2
114;-18.31;-86.85;4.68;-540;-2562;138;20.07;2
115;-18.34;-86.71;4.71;-541;-2558;139;20.33;2
116;-18.24;-86.78;4.64;-538;-2560;137;20.20;2
117;-18.41;-86.92;4.68;-543;-2564;138;20.20;2
118;-18.44;-86.61;4.68;-544;-2555;138;19.80;2
119;-18.41;-86.58;4.71;-543;-2554;139;20.33;2
120;-18.37;-86.68;4.61;-542;-2557;136;20.26;2
121;-18.37;-86.75;4.64;-542;-2559;137;20.26;2
122;-18.37;-86.81;4.71;-542;-2561;139;20.26;2
123;-18.37;-86.88;4.64;-542;-2563;137;20.07;2
124;-18.47;-86.71;4.71;-545;-2558;139;20.00;2
125;-18.27;-86.75;4.61;-539;-2559;136;20.26;2
126;-18.44;-86.85;4.61;-544;-2562;136;20.07;2
127;-18.10;-86.85;4.64;-534;-2562;137;20.07;2
128;-18.24;-86.85;4.64;-538;-2562;137;20.00;2
129;-18.44;-86.78;4.61;-544;-2560;136;20.07;2
130;-18.41;-86.85;4.68;-543;-2562;138;20.00;2
131;-18.37;-86.85;4.71;-542;-2562;139;20.13;2
132;-18.27;-86.71;4.68;-539;-2558;138;20.13;2
133;-18.27;-86.88;4.68;-539;-2563;138;20.20;2
134;-18.34;-86.85;4.68;-541;-2562;138;20.20;2
135;-18.20;-86.85;4.68;-537;-2562;138;20.13;2
136;-18.24;-86.68;4.68;-538;-2557;138;20.13;2
137;-18.41;-86.85;4.68;-543;-2562;138;20.13;2
138;-18.37;-86.78;4.68;-542;-2560;138;20.07;2
139;-18.34;-86.71;4.68;-541;-2558;138;20.07;2
140;-18.41;-86.81;4.64;-543;-2561;137;20.33;2
141;-18.37;-86.85;4.64;-542;-2562;137;20.13;2
142;-18.31;-86.78;4.54;-540;-2560;134;20.26;2
143;-18.24;-86.64;4.68;-538;-2556;138;20.00;2
144;-18.31;-86.81;4.64;-540;-2561;137;20.13;2
145;-18.34;-86.75;4.61;-541;-2559;136;20.20;2
146;-18.51;-86.88;4.71;-546;-2563;139;20.13;2
147;-18.31;-86.78;4.68;-540;-2560;138;20.20;2
148;-18.34;-86.92;4.68;-541;-2564;138;19.93;2
149;-18.31;-86.85;4.64;-540;-2562;137;19.93;2
150;-18.41;-86.81;4.51;-543;-2561;133;20.20;2
151;-18.34;-86.81;4.68;-541;-2561;138;20.00;2
152;-18.27;-86.88;4.64;-539;-2563;137;20.07;2
153;-18.27;-86.85;4.71;-539;-2562;139;20.13;2
154;-18.44;-86.88;4.68;-544;-2563;138;20.00;2
155;-18.44;-86.88;4.75;-544;-2563;140;20.20;2
156;-18.24;-86.85;4.61;-538;-2562;136;20.26;2
157;-18.41;-86.75;4.75;-543;-2559;140;20.39;2
158;-18.37;-86.88;4.75;-542;-2563;140;20.07;2
159;-18.20;-86.85;4.61;-537;-2562;136;20.20;2
160;-18.27;-86.92;4.64;-539;-2564;137;20.07;2
161;-18.34;-86.88;4.75;-541;-2563;140;20.33;2
162;-18.37;-86.78;4.68;-542;-2560;138;20.13;2
163;-18.44;-86.75;4.68;-544;-2559;138;19.93;2
164;-18.27;-86.78;4.68;-539;-2560;138;20.07;2
165;-18.27;-86.75;4.64;-539;-2559;137;20.26;2
166;-18.44;-86.78;4.61;-544;-2560;136;20.20;2
167;-18.51;-86.85;4.61;-546;-2562;136;20.07;2
168;-18.34;-86.85;4.71;-541;-2562;139;20.00;2
169;-18.41;-86.95;4.64;-543;-2565;137;20.33;2
170;-18.44;-86.95;4.64;-544;-2565;137;19.93;2
171;-18.37;-86.78;4.64;-542;-2560;137;20.33;2
172;-18.34;-86.81;4.61;-541;-2561;136;20.39;2
173;-18.34;-86.81;4.64;-541;-2561;137;20.00;2
174;-18.27;-86.61;4.61;-539;-2555;136;20.13;2
175;-18.31;-86.71;4.68;-540;-2558;138;20.26;2
176;-18.27;-86.81;4.64;-539;-2561;137;20.13;2
177;-18.31;-86.98;4.61;-540;-2566;136;19.87;2
178;-18.24;-86.75;4.68;-538;-2559;138;20.13;2
179;-18.37;-86.85;4.58;-542;-2562;135;20.26;2
180;-18.44;-86.78;4.71;-544;-2560;139;20.20;2
181;-18.37;-86.88;4.61;-542;-2563;136;20.26;2
182;-18.37;-86.92;4.68;-542;-2564;138;20.26;2
183;-18.27;-86.75;4.64;-539;-2559;137;20.26;2
184;-18.34;-86.88;4.68;-541;-2563;138;20.53;2
185;-18.37;-86.92;4.58;-542;-2564;135;20.26;2
186;-18.37;-86.68;4.64;-542;-2557;137;20.00;2
187;-18.47;-86.98;4.64;-545;-2566;137;20.33;2
188;-18.41;-86.71;4.61;-543;-2558;136;20.26;2
189;-18.41;-86.85;4.64;-543;-2562;137;20.13;2
190;-18.37;-86.75;4.64;-542;-2559;137;20.26;2
191;-18.37;-86.75;4.64;-542;-2559;137;20.26;2
192;-18.31;-86.78;4.58;-540;-2560;135;20.26;2
193;-18.27;-86.81;4.64;-539;-2561;137;20.26;2
194;-18.47;-86.92;4.61;-545;-2564;136;20.33;2
195;-18.31;-86.88;4.71;-540;-2563;139;19.93;2
196;-18.27;-86.78;4.68;-539;-2560;138;20.13;2
197;-18.20;-86.85;4.68;-537;-2562;138;20.46;2
198;-18.31;-86.75;4.75;-540;-2559;140;20.46;2
199;-18.31;-86.85;4.61;-540;-2562;136;20.26;2
200;-18.34;-86.71;4.68;-541;-2558;138;20.33;2
201;-18.31;-86.78;4.71;-540;-2560;139;20.07;2
202;-18.44;-86.92;4.64;-544;-2564;137;20.13;2
203;-18.34;-86.81;4.68;-541;-2561;138;20.20;2
204;-18.47;-86.81;4.64;-545;-2561;137;20.13;2
205;-18.44;-86.78;4.61;-544;-2560;136;20.26;2
206;-18.27;-86.92;4.61;-539;-2564;136;19.87;2
207;-18.34;-86.88;4.68;-541;-2563;138;20.07;2
208;-18.44;-86.81;4.68;-544;-2561;138;19.93;2
209;-18.31;-86.85;4.61;-540;-2562;136;20.13;2
210;-18.27;-86.81;4.61;-539;-2561;136;20.13;2
211;-18.34;-86.85;4.64;-541;-2562;137;20.00;2
212;-18.41;-86.71;4.71;-543;-2558;139;20.20;2
213;-18.37;-86.98;4.64;-542;-2566;137;20.13;2
214;-18.34;-86.81;4.64;-541;-2561;137;20.33;2
215;-18.41;-86.75;4.68;-543;-2559;138;20.13;2
216;-18.31;-86.85;4.71;-540;-2562;139;20.00;2
217;-18.44;-86.81;4.64;-544;-2561;137;20.13;2
218;-18.34;-86.78;4.64;-541;-2560;137;20.20;2
219;-18.31;-86.88;4.68;-540;-2563;138;20.07;2
220;-18.14;-86.68;4.68;-535;-2557;138;19.93;2
221;-18.44;-86.88;4.68;-544;-2563;138;19.93;2
222;-18.37;-86.95;4.68;-542;-2565;138;20.07;2
223;-18.37;-86.75;4.78;-542;-2559;141;20.20;2
224;-18.34;-86.81;4.61;-541;-2561;136;20.26;2
