Date;30.10.2025
Time;17.05.23
Sensor name:;TLE493D-P3I8

Comment:;5


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-7.46;-45.02;1.22;-220;-1328;36;20.07;2
2;-7.42;-45.05;1.19;-219;-1329;35;19.87;2
3;-7.56;-45.02;1.15;-223;-1328;34;19.87;2
4;-7.49;-44.98;1.19;-221;-1327;35;19.93;2
5;-7.46;-44.98;1.08;-220;-1327;32;19.87;2
6;-7.53;-44.92;1.15;-222;-1325;34;19.67;2
7;-7.49;-45.02;1.29;-221;-1328;38;19.74;2
8;-7.49;-45.22;1.22;-221;-1334;36;19.80;2
9;-7.53;-45.22;1.19;-222;-1334;35;20.00;2
10;-7.49;-45.02;1.19;-221;-1328;35;19.80;2
11;-7.39;-45.05;1.22;-218;-1329;36;19.93;2
12;-7.29;-44.95;1.19;-215;-1326;35;19.80;2
13;-7.53;-44.95;1.19;-222;-1326;35;19.80;2
14;-7.46;-44.98;1.19;-220;-1327;35;19.87;2
15;-7.53;-45.12;1.19;-222;-1331;35;20.13;2
16;-7.53;-45.05;1.19;-222;-1329;35;20.00;2
17;-7.46;-45.02;1.19;-220;-1328;35;19.87;2
18;-7.49;-44.98;1.25;-221;-1327;37;20.00;2
19;-7.56;-45.08;1.12;-223;-1330;33;20.13;2
20;-7.53;-45.05;1.19;-222;-1329;35;19.74;2
21;-7.46;-44.92;1.19;-220;-1325;35;19.74;2
22;-7.56;-45.02;1.15;-223;-1328;34;19.87;2
23;-7.49;-45.12;1.19;-221;-1331;35;19.67;2
24;-7.42;-44.98;1.19;-219;-1327;35;20.07;2
25;-7.49;-44.95;1.12;-221;-1326;33;20.07;2
26;-7.49;-45.05;1.12;-221;-1329;33;19.87;2
27;-7.42;-44.98;1.22;-219;-1327;36;19.74;2
28;-7.53;-44.98;1.08;-222;-1327;32;19.74;2
29;-7.49;-45.08;1.19;-221;-1330;35;20.00;2
30;-7.53;-44.95;1.25;-222;-1326;37;19.93;2
31;-7.39;-44.95;1.12;-218;-1326;33;20.00;2
32;-7.56;-44.98;1.12;-223;-1327;33;19.87;2
33;-7.53;-45.22;1.19;-222;-1334;35;19.74;2
34;-7.53;-44.98;1.15;-222;-1327;34;20.00;2
35;-7.46;-45.12;1.19;-220;-1331;35;19.93;2
36;-7.56;-45.08;1.19;-223;-1330;35;19.80;2
37;-7.42;-45.05;1.19;-219;-1329;35;19.80;2
38;-7.46;-44.81;1.12;-220;-1322;33;19.93;2
39;-7.56;-45.08;1.19;-223;-1330;35;19.74;2
40;-7.42;-45.15;1.19;-219;-1332;35;20.00;2
41;-7.42;-44.92;1.19;-219;-1325;35;19.61;2
42;-7.56;-44.98;1.19;-223;-1327;35;19.87;2
43;-7.46;-44.98;1.25;-220;-1327;37;19.80;2
44;-7.42;-44.95;1.25;-219;-1326;37;19.93;2
45;-7.59;-44.92;1.22;-224;-1325;36;20.00;2
