Date;30.10.2025
Time;17.04.44
Sensor name:;TLE493D-P3I8

Comment:;2


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-29.83;-127.15;8.92;-880;-3751;263;20.20;2
2;-29.80;-126.98;8.92;-879;-3746;263;20.20;2
3;-29.76;-126.78;8.88;-878;-3740;262;20.46;2
4;-29.83;-126.98;8.98;-880;-3746;265;20.26;2
5;-29.56;-127.02;8.98;-872;-3747;265;20.53;2
6;-29.83;-126.98;8.98;-880;-3746;265;20.33;2
7;-29.80;-127.19;8.95;-879;-3752;264;20.33;2
8;-29.80;-127.02;8.92;-879;-3747;263;20.20;2
9;-29.83;-126.98;8.92;-880;-3746;263;20.39;2
10;-29.86;-126.95;8.98;-881;-3745;265;20.13;2
11;-29.80;-126.98;8.98;-879;-3746;265;20.20;2
12;-29.66;-126.92;8.98;-875;-3744;265;20.46;2
13;-29.73;-126.92;8.88;-877;-3744;262;20.26;2
14;-29.83;-127.02;9.02;-880;-3747;266;20.07;2
15;-29.80;-127.02;8.85;-879;-3747;261;20.39;2
16;-29.80;-126.92;8.95;-879;-3744;264;20.39;2
17;-29.73;-126.95;8.92;-877;-3745;263;19.93;2
18;-29.69;-126.95;8.98;-876;-3745;265;20.33;2
19;-29.76;-126.98;8.95;-878;-3746;264;20.39;2
20;-29.73;-127.08;8.95;-877;-3749;264;20.33;2
21;-29.76;-127.02;8.92;-878;-3747;263;20.39;2
22;-29.76;-126.88;8.95;-878;-3743;264;20.39;2
23;-29.73;-126.98;8.85;-877;-3746;261;20.13;2
24;-29.73;-126.88;9.02;-877;-3743;266;19.93;2
25;-29.76;-127.02;8.95;-878;-3747;264;20.26;2
26;-29.66;-127.02;8.98;-875;-3747;265;20.13;2
27;-29.69;-127.02;9.02;-876;-3747;266;20.39;2
28;-29.83;-127.08;8.98;-880;-3749;265;20.00;2
29;-29.80;-126.95;8.88;-879;-3745;262;20.20;2
30;-29.86;-127.05;8.88;-881;-3748;262;20.07;2
31;-29.73;-126.98;8.95;-877;-3746;264;20.46;2
32;-29.76;-127.15;8.95;-878;-3751;264;20.33;2
33;-29.90;-127.08;8.92;-882;-3749;263;20.53;2
