Date;30.10.2025
Time;17.04.32
Sensor name:;TLE493D-P3I8

Comment:;1


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-46.20;-192.68;16.47;-1363;-5684;486;20.26;2
2;-46.14;-192.75;16.54;-1361;-5686;488;20.20;2
3;-46.17;-192.78;16.47;-1362;-5687;486;20.26;2
4;-46.10;-192.85;16.61;-1360;-5689;490;20.46;2
5;-46.17;-192.61;16.47;-1362;-5682;486;20.39;2
6;-46.20;-192.81;16.47;-1363;-5688;486;20.33;2
7;-46.20;-192.75;16.47;-1363;-5686;486;20.59;2
8;-46.27;-192.88;16.64;-1365;-5690;491;20.33;2
9;-46.14;-192.81;16.51;-1361;-5688;487;20.39;2
10;-46.27;-192.75;16.58;-1365;-5686;489;20.26;2
11;-46.17;-192.75;16.58;-1362;-5686;489;20.39;2
12;-46.27;-192.81;16.54;-1365;-5688;488;20.26;2
13;-46.31;-192.68;16.47;-1366;-5684;486;20.20;2
14;-46.17;-192.71;16.54;-1362;-5685;488;20.26;2
15;-46.31;-192.68;16.51;-1366;-5684;487;20.26;2
16;-46.34;-192.81;16.61;-1367;-5688;490;20.07;2
17;-46.10;-192.92;16.58;-1360;-5691;489;20.33;2
18;-46.24;-192.78;16.51;-1364;-5687;487;20.33;2
19;-46.14;-192.81;16.58;-1361;-5688;489;20.53;2
20;-46.14;-192.95;16.58;-1361;-5692;489;20.33;2
21;-46.10;-192.81;16.58;-1360;-5688;489;20.33;2
22;-46.34;-192.95;16.54;-1367;-5692;488;20.13;2
23;-46.10;-192.98;16.47;-1360;-5693;486;20.39;2
24;-46.14;-192.71;16.58;-1361;-5685;489;20.13;2
25;-46.17;-192.85;16.64;-1362;-5689;491;20.39;2
26;-46.10;-192.81;16.54;-1360;-5688;488;20.72;2
27;-46.07;-192.88;16.58;-1359;-5690;489;20.33;2
28;-46.31;-192.88;16.47;-1366;-5690;486;20.20;2
29;-46.10;-192.71;16.47;-1360;-5685;486;20.33;2
30;-46.17;-192.92;16.58;-1362;-5691;489;20.33;2
31;-46.24;-192.88;16.54;-1364;-5690;488;20.66;2
32;-46.24;-192.85;16.58;-1364;-5689;489;20.33;2
33;-46.34;-193.05;16.54;-1367;-5695;488;20.33;2
34;-46.20;-192.85;16.58;-1363;-5689;489;20.26;2
35;-46.31;-192.92;16.54;-1366;-5691;488;20.33;2
36;-46.24;-192.88;16.58;-1364;-5690;489;20.39;2
37;-46.20;-192.88;16.54;-1363;-5690;488;20.33;2
38;-46.17;-192.98;16.54;-1362;-5693;488;20.39;2
39;-46.17;-193.02;16.44;-1362;-5694;485;20.26;2
40;-46.24;-192.95;16.41;-1364;-5692;484;20.33;2
41;-46.20;-192.98;16.54;-1363;-5693;488;20.46;2
42;-46.10;-192.64;16.41;-1360;-5683;484;20.26;2
43;-46.17;-192.95;16.44;-1362;-5692;485;20.33;2
44;-46.14;-192.95;16.41;-1361;-5692;484;20.46;2
45;-46.20;-192.95;16.44;-1363;-5692;485;20.26;2
46;-46.07;-192.92;16.58;-1359;-5691;489;20.53;2
47;-46.17;-192.81;16.41;-1362;-5688;484;20.33;2
48;-46.17;-192.85;16.37;-1362;-5689;483;20.66;2
49;-46.20;-192.85;16.54;-1363;-5689;488;20.53;2
50;-46.17;-192.75;16.47;-1362;-5686;486;20.39;2
51;-46.07;-192.85;16.54;-1359;-5689;488;20.39;2
52;-46.03;-192.95;16.44;-1358;-5692;485;20.33;2
53;-46.03;-192.88;16.41;-1358;-5690;484;20.26;2
54;-46.10;-192.88;16.47;-1360;-5690;486;20.20;2
55;-46.10;-192.85;16.44;-1360;-5689;485;20.53;2
56;-46.07;-192.85;16.44;-1359;-5689;485;20.33;2
57;-46.07;-192.85;16.47;-1359;-5689;486;20.46;2
58;-46.10;-192.68;16.31;-1360;-5684;481;20.20;2
59;-46.07;-192.81;16.37;-1359;-5688;483;20.33;2
60;-46.03;-192.92;16.41;-1358;-5691;484;20.26;2
61;-46.10;-192.92;16.51;-1360;-5691;487;20.39;2
62;-46.07;-192.88;16.37;-1359;-5690;483;20.39;2
63;-46.00;-192.78;16.37;-1357;-5687;483;20.39;2
64;-46.17;-192.88;16.37;-1362;-5690;483;20.26;2
65;-45.93;-192.92;16.41;-1355;-5691;484;20.33;2
66;-46.00;-192.68;16.27;-1357;-5684;480;20.26;2
67;-46.17;-192.61;16.44;-1362;-5682;485;20.46;2
68;-45.97;-192.75;16.37;-1356;-5686;483;20.53;2
69;-46.10;-192.81;16.34;-1360;-5688;482;20.20;2
70;-46.00;-192.88;16.37;-1357;-5690;483;20.20;2
71;-46.10;-192.81;16.41;-1360;-5688;484;20.20;2
72;-46.14;-192.88;16.34;-1361;-5690;482;20.33;2
73;-46.07;-192.54;16.34;-1359;-5680;482;20.39;2
74;-46.31;-192.68;16.31;-1366;-5684;481;20.46;2
75;-46.03;-192.78;16.37;-1358;-5687;483;20.26;2
76;-46.03;-192.71;16.44;-1358;-5685;485;20.46;2
77;-46.10;-192.78;16.44;-1360;-5687;485;20.46;2
78;-46.07;-192.75;16.34;-1359;-5686;482;20.46;2
79;-46.03;-192.78;16.34;-1358;-5687;482;20.20;2
80;-46.00;-192.81;16.31;-1357;-5688;481;20.59;2
81;-46.10;-192.81;16.37;-1360;-5688;483;20.33;2
82;-45.93;-192.64;16.37;-1355;-5683;483;20.13;2
83;-46.00;-192.75;16.37;-1357;-5686;483;20.46;2
84;-46.00;-192.81;16.37;-1357;-5688;483;20.26;2
85;-46.10;-192.81;16.44;-1360;-5688;485;20.39;2
86;-46.03;-192.78;16.31;-1358;-5687;481;20.13;2
87;-46.14;-192.75;16.34;-1361;-5686;482;20.33;2
88;-46.07;-192.85;16.41;-1359;-5689;484;20.46;2
89;-46.00;-192.68;16.34;-1357;-5684;482;20.39;2
90;-46.00;-192.64;16.44;-1357;-5683;485;20.39;2
91;-46.10;-192.78;16.37;-1360;-5687;483;20.53;2
92;-46.20;-192.92;16.44;-1363;-5691;485;20.59;2
93;-46.20;-192.92;16.37;-1363;-5691;483;20.39;2
94;-46.03;-192.68;16.41;-1358;-5684;484;20.26;2
95;-46.10;-192.68;16.44;-1360;-5684;485;20.72;2
96;-46.14;-192.78;16.41;-1361;-5687;484;20.53;2
97;-46.14;-192.81;16.51;-1361;-5688;487;20.33;2
98;-46.14;-192.71;16.47;-1361;-5685;486;20.20;2
99;-46.24;-192.85;16.44;-1364;-5689;485;20.33;2
100;-46.17;-192.71;16.44;-1362;-5685;485;20.33;2
101;-46.24;-192.95;16.44;-1364;-5692;485;20.13;2
102;-46.27;-192.78;16.47;-1365;-5687;486;20.59;2
