Date;30.10.2025
Time;17.10.33
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-0.03;-3.12;-0.07;-1;-92;-2;19.54;2
2;-0.03;-3.08;-0.07;-1;-91;-2;19.47;2
3;-0.07;-3.05;-0.10;-2;-90;-3;19.74;2
4;0.00;-3.12;-0.17;0;-92;-5;19.54;2
5;0.00;-2.98;-0.14;0;-88;-4;19.61;2
6;0.00;-3.15;-0.17;0;-93;-5;19.61;2
7;0.07;-3.02;-0.14;2;-89;-4;19.54;2
8;0.00;-3.05;-0.10;0;-90;-3;19.54;2
9;-0.14;-2.95;-0.27;-4;-87;-8;19.61;2
10;0.00;-2.95;-0.24;0;-87;-7;19.41;2
11;0.10;-3.08;-0.10;3;-91;-3;19.80;2
12;-0.10;-3.05;-0.10;-3;-90;-3;19.41;2
13;0.03;-3.02;-0.20;1;-89;-6;19.74;2
14;0.17;-3.02;-0.20;5;-89;-6;19.87;2
15;0.00;-2.88;-0.17;0;-85;-5;19.41;2
16;-0.10;-2.92;-0.24;-3;-86;-7;19.61;2
17;-0.03;-2.98;-0.10;-1;-88;-3;19.47;2
18;-0.03;-3.08;-0.14;-1;-91;-4;19.54;2
19;0.03;-2.98;-0.10;1;-88;-3;19.47;2
20;0.07;-3.02;-0.20;2;-89;-6;19.67;2
21;0.00;-3.08;-0.17;0;-91;-5;19.61;2
22;0.03;-2.95;-0.10;1;-87;-3;19.34;2
23;0.10;-3.02;-0.17;3;-89;-5;19.41;2
24;0.03;-3.02;-0.20;1;-89;-6;19.47;2
25;-0.10;-3.15;-0.17;-3;-93;-5;19.80;2
26;0.03;-3.12;-0.27;1;-92;-8;19.61;2
27;-0.03;-3.02;-0.20;-1;-89;-6;19.54;2
28;-0.14;-3.05;-0.10;-4;-90;-3;19.61;2
29;0.10;-3.05;-0.24;3;-90;-7;19.67;2
30;0.00;-2.98;-0.20;0;-88;-6;19.47;2
31;0.00;-3.08;-0.14;0;-91;-4;19.34;2
32;-0.03;-2.98;-0.17;-1;-88;-5;19.67;2
